Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
Etcetera,1968,,,,,,,Pop/Rock,,,,McCartney,McCartney,,,,,,,,,,,,,,,,
Every Little Thing,1964,UK: Beatles for Sale US: Beatles VI,121,9,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock",In Love,Reflective Summery Sweet Wistful Gentle Precious Relaxed,McCartney,"Lennon, with McCartney",,1,,,,,,,,,,,,,,
Everybody's Got Something to Hide Except Me and My Monkey,1968,The Beatles,144,10,,,,"Hard Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, Album Rock",,Brash Energetic Exciting Exuberant Freewheeling Fun Irreverent Playful Raucous Rollicking Rousing Silly Cheerful Quirky Giddy Lively Rambunctious Rowdy Swaggering,Lennon,Lennon,,9,,,,,,,,,,,,,,
Everybody's Trying to Be My Baby,1964,UK: Beatles for Sale US: Beatles '65,143,21,,,,"Rock and Roll, Rockabilly, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Rockabilly","Summer, Cool & Cocky, Guys Night Out, Hanging Out, Night Driving, Partying, TGIF",Rollicking Rousing Freewheeling Fun Playful Ramshackle Raucous Swaggering,Perkins,Harrison,Y,,,,,,,,,,,,,,,
Fancy My Chances with You,196?,Let It Be... Naked - Fly on the Wall bonus disc,,,,,,Pop/Rock,"Alternative/Indie Rock, Britpop, Country-Rock","Biographical, Crime, Money, Reminiscing, Street Life, Violence",Carefree Cheerful Comic Jovial Lively Relaxed Swinging,?,?,,,,,,,,,,,,,,,,
Fixing a Hole,1967,Sgt. Pepper's Lonely Hearts Club Band,146,5,,,,"Psychedelic pop, Baroque Pop, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage",,Amiable/Good-Natured Bright Playful Summery Trippy Whimsical Atmospheric Carefree Quirky Witty Cheerful Searching Sophisticated Lazy Rousing,McCartney,McCartney,,5,,,,,,,,,,,,,49,
Flying,1967,Magical Mystery Tour,137,12,,,,"Psychedelic Rock, Instrumental Rock, Space Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Instrumental Rock, Psychedelic/Garage",,Dreamy Freewheeling Playful Quirky Spacey Trippy Whimsical Amiable/Good-Natured Relaxed Laid-Back/Mellow Soothing Fun,"Lennon, McCartney, Harrison and Starkey",N/A,,2,,,,,,,,,,,,,,
For No One,1966,Revolver,121,9,,,,"Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","Breakup, Divorce, Feeling Blue, Introspection, Loss/Grief, Regret, Reflection",Bittersweet Elegant Gentle Melancholy Poignant Reflective Sad Sophisticated Calm/Peaceful Intimate Literate Refined Yearning Delicate Lush Precious,McCartney,McCartney,,10,,,,,,,,,,40,18,,24,34
For You Blue,1969,Let It Be,152,13,The Long and Winding Road,For You Blue,RIAA Platinum,"Country Blues, Pop/Rock, Blues","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Blues-Rock, British Blues, Regional Blues","In Love, Biographical, Hope, Relationships, Reminiscing, Yearning",Amiable/Good-Natured Freewheeling Humorous Laid-Back/Mellow Lazy Ramshackle Playful Carefree Fun Quirky,Harrison,Harrison,,1,,71,,,,,,,,,,,,
Free as a Bird,1977/1994,Anthology 1,266,,Free as a Bird,Christmas Time (Is Here Again),BPI Silver; RIAA Gold,"Rock, Pop/Rock",Contemporary Pop/Rock,,Laid-Back/Mellow Passionate Rousing Sentimental,"Lennon, with McCartney, Harrison and Starkey","Lennon, McCartney and Harrison",,6,2,6,2,8,,6,,39,,,,,,
From Me to You,1963,UK: A Collection of Beatles Oldies US: 1962-1966,116,34,From Me to You,Thank You Girl,,"Merseybeat, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",In Love,Bright Cheerful Effervescent Fun Warm Earnest Exuberant Happy Sweet Carefree Light Playful,Lennon and McCartney,Lennon and McCartney,,10,1,41,1,21,7,,,,44,,,,,
From Us to You,1963,Live at the BBC,,2,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Hanging Out, Relaxation, Small Gathering",Amiable/Good-Natured Bright Innocent Fun Refined Freewheeling Smooth Lively Warm Whimsical Light Playful Sparkling Sweet Cheerful Confident Witty,Lennon and McCartney,Lennon and McCartney,,,,,,,,,,,,,,,,
Get Back,1969,Let It Be,194,28,Get Back,Don't Let Me Down,RIAA 2xPlatinum,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Argument, Lifecycle, Starting Out",Freewheeling Humorous Irreverent Playful Rollicking Rousing Fun Warm Whimsical Quirky,McCartney,McCartney,,21,1,1,1,17,6,1,5,4,29,41,32,14,30,
Getting Better,1967,Sgt. Pepper's Lonely Hearts Club Band,167,5,,,,"Psychedelic Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage",Reflection,Bright Energetic Lively Rousing Searching Summery Whimsical Rollicking Brash Brittle Passionate Witty Wry Atmospheric Playful Sardonic,"McCartney, with Lennon",McCartney,,11,,,,,,,,,48,,,49,,
Girl,1965,Rubber Soul,153,17,Michelle,Girl,,"Folk, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Feeling Blue, Heartache, Introspection, Reflection, Regret",Autumnal Bittersweet Melancholy Poignant Reflective Weary Wistful Yearning Intimate Plaintive Sad Searching Elegant Organic Literate Sophisticated Warm,Lennon,Lennon,,11,,,,,,,,,,,,47,38,
Glad All Over,1963,Live at the BBC,112,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Guys Night Out, In Love, Partying",Amiable/Good-Natured Swaggering Bright Gritty Rollicking Romantic Yearning Bravado Energetic Lively Passionate Whimsical Confident Sparkling Street-Smart Freewheeling Summery,"Bennett, Tepper, Schroeder",Harrison,Y,,,,,,,,,,,,,,,
Glass Onion,1968,The Beatles,137,8,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Psychedelic/Garage, Rock & Roll",Vacation,Trippy Freewheeling Humorous Irreverent Playful Quirky Rollicking Rousing Whimsical Enigmatic Cynical/Sarcastic Energetic Sardonic Witty,Lennon,Lennon,,2,,,,,,,,,,,,46,,
Golden Slumbers,1969,Abbey Road,91,5,,,,"Rock, Baroque Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock",,Dramatic Indulgent Lush Sophisticated Theatrical Whimsical Dreamy Searching Atmospheric Refined Self-Conscious Passionate Yearning,McCartney,McCartney,,16,,,,,,,,,,,,45,,
Good Day Sunshine,1966,Revolver,129,7,,,,"Sunshine Pop, Music Hall, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","Playful, Summer",Carefree Cheerful Fun Happy Playful Rollicking Summery Warm Relaxed Sweet,McCartney,McCartney,,4,,,,,,,,,,,,,,
"Good Morning, Good Morning",1967,Sgt. Pepper's Lonely Hearts Club Band,161,6,,,,"Rock, Hard Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll, Hard Rock",Reflection,Brash Brassy Bright Energetic Exciting Freewheeling Lively Rousing Summery Whimsical Irreverent Playful Quirky Carefree Exuberant Swaggering Witty Wry,Lennon,Lennon,,8,,,,,,,,,,,,,,
Good Night,1968,The Beatles,191,8,,,,"Orchestral Pop, Lullaby, Pop/Rock","Lullabies, Contemporary Pop/Rock, Early Pop/Rock, Baroque Pop",Family Gatherings,Amiable/Good-Natured Calm/Peaceful Dreamy Earnest Laid-Back/Mellow Lazy Lush Poignant Sentimental Sugary Warm Gentle Elegant Precious Whimsical,Lennon,Starkey,,7,,,,,,,,,,,,,,
Goodbye,1969,,,,,,,"Children's, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Singer/Songwriter",,Amiable/Good-Natured Delicate Earnest Gentle Intimate Light Organic Poignant Soothing Summery Sweet Warm Elegant Precious Sentimental Soft/Quiet Springlike Wistful,McCartney,McCartney,,,,,,,,,,,,,,,,
Got to Get You into My Life,1966,Revolver,147,8,Got to Get You into My Life,Helter Skelter,RIAA Gold,"R&B, Rock, Jazz Fusion, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Pop-Soul, Rock & Roll, Soul",,Bright Cheerful Exuberant Rousing Carefree Confident Lively Passionate Rollicking Summery Energetic Playful Swaggering Urgent,McCartney,McCartney,,10,,7,,,,7,,23,26,50,28,,,
"Hallelujah, I Love Her So",1960,Anthology 1,155,,,,,"Blues, Jazz, R&B, Pop/Rock","Early R&B, Urban Blues, Rock & Roll","Hanging Out, Partying",Earthy Lively Joyous Passionate Bright Exuberant Gritty Playful Freewheeling Rousing Celebratory Cheerful Confident,Charles,McCartney,Y,,,,,,,,,,,,,,,
Happiness Is a Warm Gun,1968,The Beatles,163,7,,,,Pop/Rock,"British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Hard Rock, Prog-Rock",,Complex Nocturnal Ominous Provocative Sardonic Snide Acerbic Cynical/Sarcastic Druggy Menacing Quirky Sprawling Circular Literate Paranoid Rousing Wry,Lennon,Lennon,,11,,,,,,,,,,24,,50,41,
Heather,1968,,130,,,,,"Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Singer/Songwriter","Family Gatherings, Playful",Amiable/Good-Natured Delicate Earnest Gentle Poignant Soothing Summery Sweet Warm Sentimental Springlike Wistful,McCartney,McCartney,,,,,,,,,,,,,,,,
Hello Little Girl,1962,Anthology 1,,,,,,"Merseybeat, Pop/Rock",Early Pop/Rock,In Love,Amiable/Good-Natured Delicate Earnest Gentle Poignant Soothing Summery Sweet Warm Sentimental Springlike Wistful,Lennon,Lennon,,,,,,,,,,,,,,,,
"Hello, Goodbye",1967,Magical Mystery Tour,207,14,"Hello, Goodbye",I Am the Walrus,RIAA Gold,Pop/Rock,"British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Cheerful Freewheeling Light Lush Quirky Sophisticated Whimsical Playful Stylish Summery Theatrical Energetic Precious Reflective Dreamy Trippy Melancholy,McCartney,McCartney,,6,1,1,1,12,7,1,3,7,45,,,22,,
Help!,1965,Help!,138,34,Help!,I'm Down,RIAA Gold,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","Feeling Blue, Heartache, Introspection",Angst-Ridden Exciting Intense Passionate Plaintive Rollicking Rousing Searching Urgent Yearning Anguished/Distraught Earnest Reflective Bittersweet Weary Melancholy,"Lennon, with McCartney",Lennon,,43,1,1,1,14,3,1,3,14,13,15,41,4,8,36
Helter Skelter,1968,The Beatles,270,13,Got to Get You into My Life,Helter Skelter,RIAA Gold,"Hard Rock, Heavy Metal[, Proto-Punk, Pop/Rock","Album Rock, Contemporary Pop/Rock, Hard Rock, Heavy Metal, Rock & Roll",,Aggressive Fierce Harsh Hostile Intense Menacing Nihilistic Nocturnal Ominous Outrageous Raucous Rebellious Reckless Rousing Rowdy Suffocating Visceral Exciting Fiery Malevolent Swaggering Volatile Freewheeling Provocative Unsettling Bravado Messy,McCartney,McCartney,,24,,,,,,,,,31,,,,31,
Her Majesty,1969,Abbey Road,23,8,,,,"Music Hall, Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Album Rock",,Bright Intimate Light Playful Sweet Whimsical Amiable/Good-Natured Cheerful Gentle Delicate Romantic,McCartney,McCartney,,1,,,,,,,,,,,,,,
Here Comes the Sun,1969,Abbey Road,186,6,,,,"Folk Pop, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Spring, Summer, The Great Outdoors",Bright Cheerful Happy Springlike Summery Sweet Delicate Sparkling,Harrison,Harrison,,27,,,,,,,,,32,28,4,5,9,16
"Here, There and Everywhere",1966,Revolver,145,11,,,,"Soft Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock","Comfort, In Love, Affection/Fondness, New Love, Sweet Dreams, Early Morning",Calm/Peaceful Gentle Intimate Romantic Sentimental Smooth Soothing Sweet Warm Refined Reflective Relaxed Reserved Delicate Dreamy Precious Lush Sophisticated,McCartney,McCartney,,29,,,,,,,,,,25,38,,,7
Hey Bulldog,1968,Yellow Submarine,194,12,All Together Now,Hey Bulldog,,"Psychedelic Rock, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Hard Rock, Psychedelic/Garage, Rock & Roll, British Psychedelia, Early Pop/Rock","Cool & Cocky, Guys Night Out, Late Night, Playful",Fiery Raucous Rousing Snide Street-Smart Swaggering Acerbic Brash Confident Ramshackle Reckless Rollicking Rowdy Aggressive Freewheeling Playful Rebellious Tough Trashy Menacing,Lennon,Lennon,,11,,,,,,,,,,,11,,,
Hey Jude,1968,UK: 1967-1970 US: Hey Jude,431,28,Hey Jude,Revolution,RIAA 4xPlatinum,"Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Comfort",Dramatic Poignant Rousing Sentimental Lush Passionate Reflective Earnest Elaborate Indulgent,McCartney,McCartney,,38,1,1,1,16,2,1,9,1,11,7,10,6,4,20
Hippy Hippy Shake,1963,Live at the BBC,106,,,,,"Rock & Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Romero,McCartney,Y,,,,,,,,,,,,,,,
Hold Me Tight,1963,UK: With the Beatles US: Meet The Beatles!,152,16,,,,"Rock & Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Fun Rollicking Rousing Sweet Cheerful Warm Happy,"McCartney, with Lennon",McCartney,,4,,,,,,,,,,,,,,
Honey Don't,1964,UK: Beatles for Sale US: Beatles '65,173,14,,,,"Rockabilly, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll, Rockabilly",,Rollicking Rousing Fun Happy Carefree Ramshackle Swaggering Freewheeling,Perkins,Starkey,Y,,,,,,,,,,,,,,,
Honey Pie,1968,The Beatles,161,8,,,,"Music Hall, Jazz, Ragtime, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock",,Amiable/Good-Natured Carefree Cheerful Fun Lush Nostalgic Playful Precious Theatrical Whimsical Campy Innocent Sophisticated Quirky Warm Happy,McCartney,McCartney,,5,,,,,,,,,,,,,,
How Do You Do It?,1962,Anthology 1,119,,,,,"Merseybeat, Pop/Rock","British Invasion, Contemporary Pop/Rock, Merseybeat, Rock & Roll, AM Pop, Early Pop/Rock",,Amiable/Good-Natured Autumnal Bittersweet Brash Bright Carefree Cheerful Earnest Effervescent Energetic Exciting Exuberant Freewheeling Fun Giddy Gleeful Happy Joyous Lively Melancholy Passionate Romantic Sentimental Sweet Playful Poignant Raucous Rollicking Yearning,Murray,Lennon,Y,,,,,,,,,,,,,,,
I Am the Walrus,1967,Magical Mystery Tour,273,20,"Hello, Goodbye",I Am the Walrus,RIAA Gold,"Psychedelic Rock, Acid Rock, Experimental Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage",,Acerbic Complex Druggy Eccentric Eerie Elaborate Enigmatic Epic Freewheeling Irreverent Nocturnal Ominous Quirky Sardonic Sprawling Theatrical Trippy Hypnotic Knotty Difficult Ethereal Indulgent Intense Messy Playful Spooky Spacey Whimsical,Lennon,Lennon,,18,,56,,,,,,,27,33,9,29,,35
I Call Your Name,1964,UK: Past Masters Volume 1 US: The Beatles Second Album,129,16,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Heartache, Feeling Blue",Bright Rollicking Bittersweet Yearning Cheerful Lively,Lennon,Lennon,,3,,,,,,,,,,,,,,
I Don't Want to Spoil the Party,1964,UK: Beatles for Sale US: Beatles VI,153,11,Eight Days a Week; I'll Follow the Sun,I Don't Want to Spoil the Party; I Don't Want to Spoil the Party,RIAA Gold,"Country Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock","Feeling Blue, Heartache, Introspection",Autumnal Melancholy Plaintive Rollicking Rousing Sad Weary Yearning Bittersweet Organic Ramshackle Reflective Anguished/Distraught Nocturnal,Lennon,Lennon,,3,,39,,,,39,,49,,,,,,
I Feel Fine,1964,UK: A Collection of Beatles Oldies US: Beatles '65,145,35,I Feel Fine,She's a Woman,RIAA Gold,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",In Love,Bright Rousing Atmospheric Cheerful Circular Freewheeling,Lennon,Lennon,,10,1,1,1,13,5,1,3,11,47,42,,,46,
I Forgot to Remember to Forget,1964,Live at the BBC,148,,,,,"Country, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Breakup, Feeling Blue, Reflection",Bittersweet Intimate Dramatic Reflective Laid-Back/Mellow Melancholy Plaintive Refined Reserved Summery Earnest Sentimental Whimsical Earthy Light Naive Weary Innocent,Stan Kesler and Charlie Feathers,Harrison,Y,,,,,,,,,,,,,,,
I Got a Woman,1963,Live at the BBC,151,,,,,"Jump Blues, R&B, Pop/Rock",,,,Charles,Lennon,Y,,,,,,,,,,,,,,,
I Got to Find My Baby,1963,Live at the BBC,116,,,,,"Rock, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Freedom, Guys Night Out, Hanging Out",Bright Energetic Bravado Searching Gutsy Summery Urgent Dramatic Freewheeling Lively Swaggering Whimsical Earnest Passionate Yearning Confident Earthy Rollicking Sparkling,Berry,Lennon,Y,,,,,,,,,,,,,,,
I Just Don't Understand,1963,Live at the BBC,167,,,,,"Rock, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Feeling Blue, Heartache, Regret",Brooding Passionate Somber Anguished/Distraught Melancholy Intimate Refined Dramatic Reflective,"Wilkin, Westberry",Lennon,Y,,,,,,,,,,,,,,,
I Lost My Little Girl,1962,,105,,,,,"Rock, R&B, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Feeling Blue, Heartache, Regret",Brooding Passionate Somber Anguished/Distraught Street-Smart Melancholy Summery Earnest Innocent Swaggering Yearning Intimate Refined Sparkling Theatrical Dramatic Reflective,McCartney,Lennon,,,,,,,,,,,,,,,,
I Me Mine,1970,Let It Be,145,10,,,,"Folk blues, Hard Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Introspection, Jealousy, Awareness, Fear, Loss/Grief, Pain, Politics/Society, Relationships, Yearning",Acerbic Bitter Bittersweet Searching Cynical/Sarcastic Meandering Brooding Spacey Rousing Freewheeling Reflective,Harrison,Harrison,,1,,,,,,,,,,,,,,
I Need You,1965,Help!,148,11,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Feeling Blue, Heartache",Yearning Melancholy Plaintive Precious Reflective Searching Quirky,Harrison,Harrison,,1,,,,,,,,,,,,,,
I Saw Her Standing There,1963,UK: Please Please Me US: Meet The Beatles!,175,42,I Want to Hold Your Hand,I Saw Her Standing There,RIAA Gold,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Rock & Roll",New Love,Energetic Joyous Rowdy Fiery Fun Rousing Cheerful Exuberant Rambunctious Rollicking Playful Freewheeling,"McCartney, with Lennon","McCartney, with Lennon",,29,90,14,,,,12,,36,17,16,31,,17,21
I Should Have Known Better,1964,UK: A Hard Day's Night US: Hey Jude,164,18,A Hard Day's Night,I Should Have Known Better,RIAA Gold,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Awareness, In Love, Relationships",Bright Energetic Fun Joyous Rollicking Sweet Warm Sentimental Playful Carefree Cheerful Explosive Optimistic Positive Swinging,Lennon,Lennon,,5,8,53,,,,,,,,36,,,,
I Wanna Be Your Man,1963,UK: With the Beatles US: Meet The Beatles!,103,25,,,,"Rock and Roll, R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Partying, Sex",Gritty Passionate Gutsy Raucous Rollicking Rousing Yearning Bravado Lively Street-Smart Whimsical Dramatic Summery Aggressive Energetic,"McCartney, with Lennon",Starkey,,3,,,,,,,,,,,,,,
I Want to Hold Your Hand,1963,UK: A Collection of Beatles Oldies US: Meet The Beatles!,144,34,I Want to Hold Your Hand,This Boy,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Affection/Fondness, In Love, New Love, Playful",Bright Effervescent Energetic Exciting Exuberant Fun Giddy Gleeful Happy Rollicking Rousing Warm Carefree Cheerful Playful Joyous Sweet Urgent,Lennon and McCartney,Lennon and McCartney,,29,1,1,1,22,5,1,7,2,9,2,3,16,18,49
I Want to Tell You,1966,Revolver,149,5,,,,"Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage",,Bright Spacey Trippy Lively Playful Quirky,Harrison,Harrison,,5,,,,,,,,,,,,,,
I Want You (She's So Heavy),1969,Abbey Road,467,5,,,,"Blues Rock, Hard Rock, Progressive Rock, Pop/Rock","Album Rock, Hard Rock, Contemporary Pop/Rock, Rock & Roll",,Dramatic Fractured Indulgent Nocturnal Ominous Quirky Intense Sprawling Suffocating Eerie Hypnotic Meandering Passionate Volatile Menacing Rousing Swaggering,Lennon,Lennon,,16,,,,,,,,,,,44,,,
I Will,1968,The Beatles,106,8,,,,"Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","In Love, New Love",Amiable/Good-Natured Bright Delicate Intimate Light Playful Precious Sentimental Soft/Quiet Soothing Sweet Warm Gentle Cheerful Earnest Sparkling Springlike,McCartney,McCartney,,12,,,,,,,,,,,,,,
I'll Be Back,1964,UK: A Hard Day's Night US: Beatles '65,140,14,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","Goodbyes, In Love, Motivation, Passion, Relationships",Bittersweet Autumnal Yearning Agreeable Carefree Cheerful Dreamy Lively Optimistic Positive Romantic,Lennon,"Lennon, with McCartney",,9,,,,,,,,,,,,,,
I'll Be on My Way,1963,Live at the BBC,118,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Breakup, Feeling Blue, Reflection",Bittersweet Intimate Dramatic Reflective Laid-Back/Mellow Melancholy Plaintive Refined Reserved Summery Earnest Sentimental Whimsical Earthy Light Naive Weary Innocent,McCartney,Lennon,,,,,,,,,,,,,,,,
I'll Cry Instead,1964,UK: A Hard Day's Night US: Something New,129,14,I'll Cry Instead,I'm Happy Just to Dance with You,,"Rock and Roll, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary","Feeling Blue, Heartache, Awareness, Goodbyes, In Love, Loneliness, Pain, Passion, Yearning",Acerbic Bitter Rollicking Rousing Energetic Swaggering Freewheeling Angry Bright Carefree Cheerful Exciting Explosive Lively Optimistic Positive Sardonic Strong,Lennon,Lennon,,3,,25,,,,25,,43,,,,,,37
I'll Follow the Sun,1964,UK: Beatles for Sale US: Beatles '65,106,17,I'll Follow the Sun,I Don't Want to Spoil the Party,,"Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock",,Bittersweet Intimate Poignant Wistful Precious Searching Gentle Sweet Yearning Sentimental Warm,McCartney,"McCartney, with Lennon",,6,,,,,,,,,,,,,27,
I'll Get You,1963,UK: Past Masters Volume 1 US: The Beatles Second Album,124,13,She Loves You; Sie Liebt Dich,I'll Get You; I'll Get You,,"Merseybeat, Pop/Rock",,,,Lennon and McCartney,"Lennon, with McCartney",,3,,,,,,,,,,,,,,
I'll Keep You Satisfied,1963,,,,,,,Pop/Rock,,,,"McCartney, with Lennon",Lennon and/or McCartney,,,,,,,,,,,,,,,,
I'm a Loser,1964,UK: Beatles for Sale US: Beatles '65,151,17,Rock and Roll Music,I'm a Loser,,"Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Folk-Rock, Psychedelic/Garage","Heartache, Introspection, Jealousy, Loss/Grief, Feeling Blue",Angst-Ridden Anguished/Distraught Autumnal Melancholy Rollicking Rousing Sad Weary Plaintive Reflective Nocturnal Bittersweet,Lennon,Lennon,,5,,,,,,,,,,,,,,
I'm Down,1965,Rock 'n' Roll Music,153,20,Help!,I'm Down,RIAA Gold,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Energetic Exciting Exuberant Raucous Rollicking Rousing Rowdy Brash Fiery Giddy Intense Reckless Swaggering Rambunctious Urgent Freewheeling Manic,McCartney,McCartney,,7,,101,,,,,,,,,,,,
I'm Gonna Sit Right Down and Cry (Over You),1963,Live at the BBC,121,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Guys Night Out, Jealousy, Late Night",Gritty Passionate Gutsy Raucous Rollicking Rousing Yearning Bravado Lively Street-Smart Whimsical Dramatic Summery Aggressive Energetic,"Thomas, Biggs",Lennon,Y,,,,,,,,,,,,,,,
I'm Happy Just to Dance with You,1964,UK: A Hard Day's Night US: Something New,118,5,I'll Cry Instead,I'm Happy Just to Dance with You,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","New Love, Awareness, Dance Party, In Love",Bright Energetic Fun Happy Joyous Sweet Warm Innocent Playful Effervescent Carefree Cheerful Lively Optimistic Positive Sentimental,Lennon and McCartney,Harrison,,5,,95,,,,,,,,,,,,
I'm In Love,1963,The Beatles Bootleg Recordings 1963,92,,,,,"Rock and Roll, Pop/Rock",,,,Lennon,Lennon,,,,,,,,,,,,,,,,
